Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6901132,Villa,north coast resorts riviera,"6,800,000 EGP","19,429 EGP/M²",350 m²,4 rooms,3 bathroom,N/A,2009,Super Lux,Garden,Installments,Developer,Garden,Villa For sale in Riviera,https://aqarmap.com.eg/en/listing/6901132-for-sale-north-coast-resorts-riviera/
EG-6671452,Apartment,cairo 6th of october compounds murooj,"5,000,000 EGP","37,594 EGP/M²",133 m²,3 rooms,2 bathroom,2,2026,Super Lux,Main Street,Cash,Developer,N/A,Apartment For sale in Murooj Compound - Dar El Maghraby,https://aqarmap.com.eg/en/listing/6671452-for-sale-cairo-6th-of-october-compounds-murooj/
EG-6903778,Land,cairo 6th of october ltws t lshrqy,"5,500,000 EGP","5,314 EGP/M²",1035 m²,N/A,N/A,N/A,N/A,N/A,Main Street,Cash,Broker,N/A,Land For sale in Eastern Expansions with size 1035 M² View Main Street,https://aqarmap.com.eg/en/listing/6903778-for-sale-cairo-6th-of-october-ltws-t-lshrqy/
EG-6897924,Chalet,north coast resorts solare resort misr italia,"9,974,100 EGP","75,561 EGP/M²",132 m²,2 rooms,2 bathroom,Ground,2029,Super Lux,Lake,Installments,Private Owner,"Security, Garden, Solar","Directly from the ownerA ground-floor chalet with two bedrooms and a garden (north-facing), fully finished, overlooking the lagoon directly.",https://aqarmap.com.eg/en/listing/6897924-for-sale-north-coast-resorts-solare-resort-misr-italia/
EG-6898957,Apartment,cairo new heliopolis lhy lthny,"1,600,000 EGP","13,333 EGP/M²",120 m²,2 rooms,3 bathroom,3,2025,ed For sale in Second Neighborhood,Main Street,Installments,Developer,N/A,"Apartments For sale with size 120 M² Semi Finished View Main Street, third floor, two rooms, three baths",https://aqarmap.com.eg/en/listing/6898957-for-sale-cairo-new-heliopolis-lhy-lthny/
EG-6859550,Land,cairo 6th of october green belt,"160,000,000 EGP","4,762 EGP/M²",33600 m²,N/A,N/A,N/A,N/A,N/A,Main Street,Cash,Broker,N/A,Residential Land For sale in Wadi El Nile with size 33600 M² View Main Street,https://aqarmap.com.eg/en/listing/6859550-for-sale-cairo-6th-of-october-green-belt/
EG-6899863,Apartment,cairo nasr city abbas el akkad,"6,500,000 EGP","32,500 EGP/M²",200 m²,3 rooms,3 bathroom,11,1999,Super Lux,Main Street,Cash,Broker,"Elevator, Water Meter, Security, Balcony","Finish:Extra super lux 200 M² View Main Street, eleventh floor, three rooms, three baths in Abbas El Akkad St.",https://aqarmap.com.eg/en/listing/6899863-for-sale-cairo-nasr-city-abbas-el-akkad/
EG-6723602,Studio,cairo new cairo compounds sarai croons,"3,185,000 EGP","46,159 EGP/M²",69 m²,1 rooms,1 bathroom,2,2026,ed,Main Street,Cash,Broker,N/A,Studio for sale in Sarai Compound – Phase S1Immediate delivery,https://aqarmap.com.eg/en/listing/6723602-for-sale-cairo-new-cairo-compounds-sarai-croons/
EG-6816744,Chalet,north coast resorts virginia plaza resort solid,"1,578,000 EGP","28,691 EGP/M²",55 m²,2 rooms,1 bathroom,7,2028,Super Lux,Pool,Cash or Installments,Developer,N/A,Chalet For sale in Virginia Plaza Resort - Solid,https://aqarmap.com.eg/en/listing/6816744-for-sale-north-coast-resorts-virginia-plaza-resort-solid/
EG-6547418,Apartment,cairo new cairo hy skn ljm lmryky,"7,350,000 EGP","31,013 EGP/M²",237 m²,4 rooms,3 bathroom,2,2025,ed,Garden,Cash,Developer,Garden,Apartment For sale in American University Housing District,https://aqarmap.com.eg/en/listing/6547418-for-sale-cairo-new-cairo-hy-skn-ljm-lmryky/
EG-6900412,Apartment,cairo new administrative capital r8 canyon 8 compound home town,"7,787,805 EGP","40,561 EGP/M²",192 m²,4 rooms,3 bathroom,2,2030,ed,Garden,Cash or Installments,Developer,"Elevator, Security, Parking, Garden, Balcony","Semi Finished Apartments in Canyon 8 Compound - Home Town with size 192 M² View Garden Semi Finished, second floor, four rooms, three baths",https://aqarmap.com.eg/en/listing/6900412-for-sale-cairo-new-administrative-capital-r8-canyon-8-compound-home-town/
EG-6799307,Office,cairo new administrative capital mu23 paris mall,"1,700,000 EGP","170,000 EGP/M²",10 m²,1 rooms,1 bathroom,11,2027,Super Lux,Plaza,Cash or Installments,Developer,N/A,Administrative Office for Sale – New Administrative Capital,https://aqarmap.com.eg/en/listing/6799307-for-sale-cairo-new-administrative-capital-mu23-paris-mall/
EG-6671559,Apartment,cairo 6th of october el tawsaat el shamalya hy 2000 qt,"1,500,000 EGP","12,500 EGP/M²",120 m²,2 rooms,2 bathroom,2,2026,ed,Main Street,Cash,Developer,N/A,Apartment For sale in The 2000 Pieces,https://aqarmap.com.eg/en/listing/6671559-for-sale-cairo-6th-of-october-el-tawsaat-el-shamalya-hy-2000-qt/
EG-6745372,Apartment,cairo el shorouk compounds palm island compound tg,"3,600,000 EGP","31,304 EGP/M²",115 m²,2 rooms,2 bathroom,1,2028,ed,Garden,Cash or Installments,Broker,"Elevator, Water Meter, Security, Garden, Balcony",Own your apartment in the best compound in Shorouk City at the lowest price on the market and with the best services.,https://aqarmap.com.eg/en/listing/6745372-for-sale-cairo-el-shorouk-compounds-palm-island-compound-tg/
EG-6687086,Roof,cairo new cairo bait el watan sixth neighborhood,"4,700,000 EGP","25,000 EGP/M²",188 m²,3 rooms,3 bathroom,4,2026,ed,Side Street,Cash or Installments,Developer,N/A,روف For sale in Sixth Neighborhood,https://aqarmap.com.eg/en/listing/6687086-for-sale-cairo-new-cairo-bait-el-watan-sixth-neighborhood/
EG-6762736,Apartment,cairo new administrative capital r8 ravie compound captain,"4,705,000 EGP","37,047 EGP/M²",127 m²,3 Bedroom Apartment for Sale in Ravie Compound – R8 New Capital – 10 Years Installments,2 bathroom,2,2025,ed,Main Street,Cash or Installments,Developer,N/A,"Own your unit in the heart of the New Administrative Capital at Ravie Compound – R8, one of the most premium residential zones.",https://aqarmap.com.eg/en/listing/6762736-for-sale-cairo-new-administrative-capital-r8-ravie-compound-captain/
EG-6714313,Apartment,cairo 6th of october el hay el motamyz first touristic village el shaheed mohammed abdul latif alshimi st,"5,700,000 EGP","35,625 EGP/M²",160 m²,3 rooms,2 bathroom,1,2026,Super Lux,Main Street,Cash,Developer,N/A,Apartment For sale in El Shaheed Mohamed Abd El Latif El Shimi St.,https://aqarmap.com.eg/en/listing/6714313-for-sale-cairo-6th-of-october-el-hay-el-motamyz-first-touristic-village-el-shaheed-mohammed-abdul-latif-alshimi-st/
EG-6753851,Apartment,cairo new cairo compounds the icon gardens compound style home,"4,350,000 EGP","27,188 EGP/M²","Own a 3-bedroom, 160m² apartment in The Icon, Fifth Settlement - CSA, with installments over 10 years",3 rooms,2 bathroom,3,2025,ed,Main Street,Cash or Installments,Broker,Garden,3-Bedroom Apartment for Sale in a Prime Location in New Cairo (Fifth Settlement)160 sq m,https://aqarmap.com.eg/en/listing/6753851-for-sale-cairo-new-cairo-compounds-the-icon-gardens-compound-style-home/
EG-6495823,Duplex,cairo new cairo bait el watan fourth neighborhood,"5,800,000 EGP","22,745 EGP/M²",255 m²,4 rooms,3 bathroom,Ground,2026,ed,Garden,Cash or Installments,Developer,Garden,دوبلكس For sale in Fourth Neighborhood,https://aqarmap.com.eg/en/listing/6495823-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/
EG-6495796,Duplex,cairo new cairo bait el watan fourth neighborhood,"5,800,000 EGP","22,745 EGP/M²",255 m²,4 rooms,3 bathroom,Ground,2026,ed,Garden,Cash or Installments,Developer,Garden,دوبلكس For sale in Fourth Neighborhood,https://aqarmap.com.eg/en/listing/6495796-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/
EG-6902624,Apartment,red sea hurghada city el hadba sheraton st,"2,871,000 EGP","49,500 EGP/M²",58 m²,1 rooms,1 bathroom,3,2028,Super Lux,Pool,Installments,Broker,N/A,"Located in the heart of the plateau, directly behind Al-Aseel Hospital, the project boasts a prime location that blends vibrancy and tranquility, close to key landmarks and services:",https://aqarmap.com.eg/en/listing/6902624-for-sale-red-sea-hurghada-city-el-hadba-sheraton-st/
EG-6902272,Apartment,cairo heliopolis el higaz square el hegaz st,"12,000,000 EGP","50,000 EGP/M²",240 m²,3 rooms,3 bathroom,9,2010,Super Lux,Main Street,Cash,Broker,N/A,Apartment For sale in El Hegaz St.,https://aqarmap.com.eg/en/listing/6902272-for-sale-cairo-heliopolis-el-higaz-square-el-hegaz-st/
