Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Finish,View,Amenities,Amenities_Count,Is_Installments
Villa,north coast resorts riviera,6800000.0,19429.0,350.0,4.0,3.0,,1,Garden,Garden,1,1
Apartment,cairo 6th of october compounds murooj,5000000.0,37594.0,133.0,3.0,2.0,2.0,1,Main Street,,0,0
Land,cairo 6th of october ltws t lshrqy,5500000.0,5314.0,1035.0,,,,1,Main Street,,0,0
Chalet,north coast resorts solare resort misr italia,9974100.0,75561.0,132.0,2.0,2.0,0.0,1,Lake,"Security, Garden, Solar",3,1
Apartment,cairo new heliopolis lhy lthny,1600000.0,13333.0,120.0,2.0,3.0,3.0,1,Main Street,,0,1
Land,cairo 6th of october green belt,160000000.0,4762.0,33600.0,,,,1,Main Street,,0,0
Apartment,cairo nasr city abbas el akkad,6500000.0,32500.0,200.0,3.0,3.0,11.0,1,Main Street,"Elevator, Water Meter, Security, Balcony",4,0
Studio,cairo new cairo compounds sarai croons,3185000.0,46159.0,69.0,1.0,1.0,2.0,1,Main Street,,0,0
Chalet,north coast resorts virginia plaza resort solid,1578000.0,28691.0,55.0,2.0,1.0,7.0,1,Pool,,0,1
Apartment,cairo new cairo hy skn ljm lmryky,7350000.0,31013.0,237.0,4.0,3.0,2.0,1,Garden,Garden,1,0
Apartment,cairo new administrative capital r8 canyon 8 compound home town,7787805.0,40561.0,192.0,4.0,3.0,2.0,1,Garden,"Elevator, Security, Parking, Garden, Balcony",5,1
Office,cairo new administrative capital mu23 paris mall,1700000.0,170000.0,10.0,1.0,1.0,11.0,1,Plaza,,0,1
Apartment,cairo 6th of october el tawsaat el shamalya hy 2000 qt,1500000.0,12500.0,120.0,2.0,2.0,2.0,1,Main Street,,0,0
Apartment,cairo el shorouk compounds palm island compound tg,3600000.0,31304.0,115.0,2.0,2.0,1.0,1,Garden,"Elevator, Water Meter, Security, Garden, Balcony",5,1
Roof,cairo new cairo bait el watan sixth neighborhood,4700000.0,25000.0,188.0,3.0,3.0,4.0,1,Side Street,,0,1
Apartment,cairo new administrative capital r8 ravie compound captain,4705000.0,37047.0,127.0,3.0,2.0,2.0,1,Main Street,,0,1
Apartment,cairo 6th of october el hay el motamyz first touristic village el shaheed mohammed abdul latif alshimi st,5700000.0,35625.0,160.0,3.0,2.0,1.0,1,Main Street,,0,0
Apartment,cairo new cairo compounds the icon gardens compound style home,4350000.0,27188.0,3.0,3.0,2.0,3.0,1,Main Street,Garden,1,1
Duplex,cairo new cairo bait el watan fourth neighborhood,5800000.0,22745.0,255.0,4.0,3.0,0.0,1,Garden,Garden,1,1
Apartment,red sea hurghada city el hadba sheraton st,2871000.0,49500.0,58.0,1.0,1.0,3.0,1,Pool,,0,1
Apartment,cairo heliopolis el higaz square el hegaz st,12000000.0,50000.0,240.0,3.0,3.0,9.0,1,Main Street,,0,0
